Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
01;01;01;08;00;000;OTROS INGRESOS CORRIENTES;307516;0
01;01;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;104964;0
01;01;01;08;99;000;Otros;202552;0
01;01;01;09;00;000;APORTE FISCAL;20102967;0
01;01;01;09;01;000;Libre;20102967;0
01;01;01;10;00;000;VENTA DE ACTIVOS NO FINANCIEROS;25700;0
01;01;01;10;03;000;Vehículos;25700;0
01;01;01;15;00;000;SALDO INICIAL DE CAJA;1010;0
01;01;01;21;00;000;GASTOS EN PERSONAL;9370814;0
01;01;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;6498767;0
01;01;01;24;00;000;TRANSFERENCIAS CORRIENTES;4222915;0
01;01;01;24;03;000;A Otras Entidades Públicas;4222915;0
01;01;01;24;03;701;Apoyo Actividades Presidenciales;4222915;0
01;01;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;343687;0
01;01;01;29;05;000;Máquinas y Equipos;75110;0
01;01;01;29;06;000;Equipos Informáticos;33485;0
01;01;01;29;07;000;Programas Informáticos;235092;0
01;01;01;34;00;000;SERVICIO DE LA DEUDA;10;0
01;01;01;34;07;000;Deuda Flotante;10;0
01;01;01;35;00;000;SALDO FINAL DE CAJA;1000;0
02;01;01;08;00;000;OTROS INGRESOS CORRIENTES;322456;0
02;01;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;277011;0
02;01;01;08;99;000;Otros;45445;0
02;01;01;09;00;000;APORTE FISCAL;53088861;0
02;01;01;09;01;000;Libre;53088861;0
02;01;01;15;00;000;SALDO INICIAL DE CAJA;10;0
02;01;01;21;00;000;GASTOS EN PERSONAL;25438747;0
02;01;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;7151551;0
02;01;01;23;00;000;PRESTACIONES DE SEGURIDAD SOCIAL;116930;0
02;01;01;23;01;000;Prestaciones Previsionales;116930;0
02;01;01;24;00;000;TRANSFERENCIAS CORRIENTES;18959881;0
02;01;01;24;01;000;Al Sector Privado;861436;0
02;01;01;24;01;009;Aplicación Ley N° 19.672;861436;0
02;01;01;24;03;000;A Otras Entidades Públicas;18008993;0
02;01;01;24;03;001;Personal Apoyo Senadores;5811915;0
02;01;01;24;03;002;Asesoría Externa Senadores;2307639;0
02;01;01;24;03;003;Gastos Operacionales Senadores;6218359;0
02;01;01;24;03;004;Personal Apoyo Comités;978648;0
02;01;01;24;03;005;Asesoría Externa Comités;955959;0
02;01;01;24;03;006;Gastos Operacionales Comités;23656;0
02;01;01;24;03;007;Otras Transferencias;1712817;0
02;01;01;24;07;000;A Organismos Internacionales;89452;0
02;01;01;24;07;001;Asociación de Congresos;89452;0
02;01;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;1744198;0
02;01;01;29;05;000;Máquinas y Equipos;776825;0
02;01;01;29;06;000;Equipos Informáticos;646999;0
02;01;01;29;07;000;Programas Informáticos;320374;0
02;01;01;31;00;000;INICIATIVAS DE INVERSIÓN;10;0
02;01;01;31;02;000;Proyectos;10;0
02;01;01;34;00;000;SERVICIO DE LA DEUDA;10;0
02;01;01;34;07;000;Deuda Flotante;10;0
02;02;01;08;00;000;OTROS INGRESOS CORRIENTES;380614;0
02;02;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;309704;0
02;02;01;08;99;000;Otros;70910;0
02;02;01;09;00;000;APORTE FISCAL;82091879;0
02;02;01;09;01;000;Libre;82091879;0
02;02;01;15;00;000;SALDO INICIAL DE CAJA;10;0
